event_name,timestamp,session_id,login_name,program_name,database_name,_linea,command,duration,cpu_time,logical_reads,writes,wait_type,resource_type,mode,status,process_type,run_name
sql_batch_completed,2026-09-04 05:12:10.281,52,,,SteelNort,"{""event_name"": ""sql_batch_completed"", ""timestamp"": ""2026-09-04 05:12:10.281"", ""database_name"": ""SteelNort"", ""session_id"": 52, ""command"": ""AWAITING COMMAND"", ""duration"": 5, ""cpu_time"": 0, ""logical_reads"": 0, ""writes"": 0}",AWAITING COMMAND,5.0,0.0,0.0,0.0,,,,,UNKNOWN,carga1
wait_info,2026-09-04 05:12:10.281,58,,,master,"{""event_name"": ""wait_info"", ""timestamp"": ""2026-09-04 05:12:10.281"", ""session_id"": 58, ""wait_type"": ""BROKER_TO_FLUSH"", ""database_name"": ""master""}",,,,,,BROKER_TO_FLUSH,,,,UNKNOWN,carga1
sql_batch_completed,2026-09-04 05:12:10.281,77,,,SteelNort,"{""event_name"": ""sql_batch_completed"", ""timestamp"": ""2026-09-04 05:12:10.281"", ""database_name"": ""SteelNort"", ""session_id"": 77, ""command"": ""EXECUTE"", ""duration"": 33, ""cpu_time"": 27, ""logical_reads"": 0, ""writes"": 0, ""wait_type"": ""MSQL_XP""}",EXECUTE,33.0,27.0,0.0,0.0,MSQL_XP,,,,USER,carga1
wait_info,2026-09-04 05:12:15.308,58,,,master,"{""event_name"": ""wait_info"", ""timestamp"": ""2026-09-04 05:12:15.308"", ""session_id"": 58, ""wait_type"": ""SLEEP_TASK"", ""database_name"": ""master""}",,,,,,SLEEP_TASK,,,,UNKNOWN,carga1
sql_batch_completed,2026-09-04 05:12:15.308,52,,,SteelNort,"{""event_name"": ""sql_batch_completed"", ""timestamp"": ""2026-09-04 05:12:15.308"", ""database_name"": ""SteelNort"", ""session_id"": 52, ""command"": ""AWAITING COMMAND"", ""duration"": 5035, ""cpu_time"": 0, ""logical_reads"": 0, ""writes"": 0, ""status"": ""completed""}",AWAITING COMMAND,5035.0,0.0,0.0,0.0,,,,completed,UNKNOWN,carga1
sql_batch_completed,2026-09-04 05:12:15.308,77,,,SteelNort,"{""event_name"": ""sql_batch_completed"", ""timestamp"": ""2026-09-04 05:12:15.308"", ""database_name"": ""SteelNort"", ""session_id"": 77, ""command"": ""EXECUTE"", ""duration"": 5062, ""cpu_time"": 27, ""logical_reads"": 0, ""writes"": 0, ""status"": ""completed""}",EXECUTE,5062.0,27.0,0.0,0.0,,,,completed,USER,carga1
wait_info,2026-09-04 05:12:20.331,58,,,master,"{""event_name"": ""wait_info"", ""timestamp"": ""2026-09-04 05:12:20.331"", ""session_id"": 58, ""wait_type"": ""BROKER_TO_FLUSH"", ""database_name"": ""master""}",,,,,,BROKER_TO_FLUSH,,,,UNKNOWN,carga1
wait_info,2026-09-04 05:12:25.356,58,,,master,"{""event_name"": ""wait_info"", ""timestamp"": ""2026-09-04 05:12:25.356"", ""session_id"": 58, ""wait_type"": ""SLEEP_TASK"", ""database_name"": ""master""}",,,,,,SLEEP_TASK,,,,UNKNOWN,carga1
lock_acquired,2026-09-04 05:12:25.356,67,,,,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-04 05:12:25.356"", ""session_id"": 67, ""resource_type"": ""OBJECT"", ""mode"": ""IS""}",,,,,,,OBJECT,IS,,UNKNOWN,carga1
wait_info,2026-09-04 05:12:30.379,58,,,master,"{""event_name"": ""wait_info"", ""timestamp"": ""2026-09-04 05:12:30.379"", ""session_id"": 58, ""wait_type"": ""BROKER_TO_FLUSH"", ""database_name"": ""master""}",,,,,,BROKER_TO_FLUSH,,,,UNKNOWN,carga1
lock_released,2026-09-04 05:12:30.379,67,,,,"{""event_name"": ""lock_released"", ""timestamp"": ""2026-09-04 05:12:30.379"", ""session_id"": 67, ""resource_type"": ""OBJECT"", ""mode"": ""IS""}",,,,,,,OBJECT,IS,,UNKNOWN,carga1
wait_info,2026-09-04 05:12:35.405,58,,,master,"{""event_name"": ""wait_info"", ""timestamp"": ""2026-09-04 05:12:35.405"", ""session_id"": 58, ""wait_type"": ""SLEEP_TASK"", ""database_name"": ""master""}",,,,,,SLEEP_TASK,,,,UNKNOWN,carga1
wait_info,2026-09-04 05:12:40.431,58,,,master,"{""event_name"": ""wait_info"", ""timestamp"": ""2026-09-04 05:12:40.431"", ""session_id"": 58, ""wait_type"": ""BROKER_TO_FLUSH"", ""database_name"": ""master""}",,,,,,BROKER_TO_FLUSH,,,,UNKNOWN,carga1
login,2026-09-04 05:12:50.471,70,795ec2146175\Administrator,Microsoft SQL Server,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-04 05:12:50.471"", ""session_id"": 70, ""login_name"": ""795ec2146175\\Administrator"", ""program_name"": ""Microsoft SQL Server"", ""database_name"": ""SteelNort""}",,,,,,,,,,UNKNOWN,carga1
wait_info,2026-09-04 05:12:50.471,58,,,master,"{""event_name"": ""wait_info"", ""timestamp"": ""2026-09-04 05:12:50.471"", ""session_id"": 58, ""wait_type"": ""SLEEP_TASK"", ""database_name"": ""master""}",,,,,,SLEEP_TASK,,,,UNKNOWN,carga1
sql_batch_completed,2026-09-04 05:12:50.471,77,,,SteelNort,"{""event_name"": ""sql_batch_completed"", ""timestamp"": ""2026-09-04 05:12:50.471"", ""database_name"": ""SteelNort"", ""session_id"": 77, ""command"": ""EXECUTE"", ""duration"": 146, ""cpu_time"": 90, ""logical_reads"": 0, ""writes"": 0, ""wait_type"": ""MSQL_XP""}",EXECUTE,146.0,90.0,0.0,0.0,MSQL_XP,,,,USER,carga1
logout,2026-09-04 05:12:55.496,70,,,,"{""event_name"": ""logout"", ""timestamp"": ""2026-09-04 05:12:55.496"", ""session_id"": 70}",,,,,,,,,,UNKNOWN,carga1
wait_info,2026-09-04 05:12:55.496,58,,,master,"{""event_name"": ""wait_info"", ""timestamp"": ""2026-09-04 05:12:55.496"", ""session_id"": 58, ""wait_type"": ""BROKER_TO_FLUSH"", ""database_name"": ""master""}",,,,,,BROKER_TO_FLUSH,,,,UNKNOWN,carga1
sql_batch_completed,2026-09-04 05:12:55.496,77,,,SteelNort,"{""event_name"": ""sql_batch_completed"", ""timestamp"": ""2026-09-04 05:12:55.496"", ""database_name"": ""SteelNort"", ""session_id"": 77, ""command"": ""EXECUTE"", ""duration"": 5170, ""cpu_time"": 90, ""logical_reads"": 0, ""writes"": 0, ""status"": ""completed""}",EXECUTE,5170.0,90.0,0.0,0.0,,,,completed,USER,carga1
