timestamp                 metric                    value
2026-09-04 05:39:55       cpu_usr                   0.0
2026-09-04 05:39:55       cpu_sys                   0.0
2026-09-04 05:39:55       cpu_idl                   0.0
2026-09-04 05:39:55       cpu_wai                   0.0
2026-09-04 05:39:55       cpu_stl                   0.0
2026-09-04 05:39:55       memory_percent            42.4
2026-09-04 05:39:55       memory_used_mb            1661
2026-09-04 05:39:55       memory_available_mb       2255
2026-09-04 05:39:55       disk_read_per_sec         36350725
2026-09-04 05:39:55       disk_write_per_sec        0
2026-09-04 05:39:55       net_send_per_sec          55388
2026-09-04 05:39:55       net_recv_per_sec          164565
2026-09-04 05:39:55       load1                     1.40
2026-09-04 05:39:55       load5                     0.50
2026-09-04 05:39:55       load15                    1.70
2026-09-04 05:39:55       active_sessions           23
2026-09-04 05:39:55       active_requests           12
2026-09-04 05:39:55       long_queries              10
2026-09-04 05:39:55       long_transactions         10
2026-09-04 05:39:55       idle_sessions             21
2026-09-04 05:39:55       lock_waits                0
2026-09-04 05:39:55       total_locks               13
2026-09-04 05:39:55       deadlocks_per_sec         0
2026-09-04 05:39:55       page_life_expectancy      41
2026-09-04 05:39:55       buffer_cache_hit_ratio    100.0
2026-09-04 05:39:55       database_size_mb          0
2026-09-04 05:39:55       total_reads               697
2026-09-04 05:39:55       total_writes              76
2026-09-04 05:39:55       venta_locks               0
2026-09-04 05:39:55       detalle_venta_locks       0
2026-09-04 05:39:55       inventario_locks          0
2026-09-04 05:39:55       kardex_locks              0
2026-09-04 05:39:55       caja_locks                0
2026-09-04 05:39:55       movimiento_caja_locks     0
2026-09-04 05:39:55       auditoria_locks           0
2026-09-04 05:39:55       api_status                200
2026-09-04 05:39:55       api_latency_ms            208
2026-09-04 05:39:55       products_count            702
2026-09-04 05:39:55       sales_count               0
2026-09-04 05:40:06       cpu_usr                   43.8
2026-09-04 05:40:06       cpu_sys                   17.5
2026-09-04 05:40:06       cpu_idl                   32.5
2026-09-04 05:40:06       cpu_wai                   0.6
2026-09-04 05:40:06       cpu_stl                   0.0
2026-09-04 05:40:06       memory_percent            44.1
2026-09-04 05:40:06       memory_used_mb            1727
2026-09-04 05:40:06       memory_available_mb       2189
2026-09-04 05:40:06       disk_read_per_sec         16600818
2026-09-04 05:40:06       disk_write_per_sec        1009934
2026-09-04 05:40:06       net_send_per_sec          7436
2026-09-04 05:40:06       net_recv_per_sec          42599
2026-09-04 05:40:06       load1                     2.77
2026-09-04 05:40:06       load5                     0.83
2026-09-04 05:40:06       load15                    1.79
2026-09-04 05:40:06       active_sessions           23
2026-09-04 05:40:06       active_requests           11
2026-09-04 05:40:06       long_queries              10
2026-09-04 05:40:06       long_transactions         10
2026-09-04 05:40:06       idle_sessions             22
2026-09-04 05:40:06       lock_waits                0
2026-09-04 05:40:06       total_locks               13
2026-09-04 05:40:06       deadlocks_per_sec         0
2026-09-04 05:40:06       page_life_expectancy      52
2026-09-04 05:40:06       buffer_cache_hit_ratio    100.0
2026-09-04 05:40:06       transactions_per_sec      89.42
2026-09-04 05:40:06       page_reads_per_sec        0.0
2026-09-04 05:40:06       page_writes_per_sec       0.0
2026-09-04 05:40:06       rollbacks_per_sec         0.0
2026-09-04 05:40:06       batch_requests_per_sec    0.0
2026-09-04 05:40:06       sql_compilations_per_sec  0.0
2026-09-04 05:40:06       database_size_mb          0
2026-09-04 05:40:06       total_reads               701
2026-09-04 05:40:06       total_writes              85
2026-09-04 05:40:06       venta_locks               0
2026-09-04 05:40:06       detalle_venta_locks       0
2026-09-04 05:40:06       inventario_locks          0
2026-09-04 05:40:06       kardex_locks              0
2026-09-04 05:40:06       caja_locks                0
2026-09-04 05:40:06       movimiento_caja_locks     0
2026-09-04 05:40:06       auditoria_locks           0
2026-09-04 05:40:06       api_status                0
2026-09-04 05:40:06       api_latency_ms            5008
2026-09-04 05:40:06       products_count            0
2026-09-04 05:40:06       sales_count               0
2026-09-04 05:40:21       cpu_usr                   54.4
2026-09-04 05:40:21       cpu_sys                   16.8
2026-09-04 05:40:21       cpu_idl                   22.1
2026-09-04 05:40:21       cpu_wai                   0.3
2026-09-04 05:40:21       cpu_stl                   0.0
2026-09-04 05:40:21       memory_percent            44.6
2026-09-04 05:40:21       memory_used_mb            1746
2026-09-04 05:40:21       memory_available_mb       2170
2026-09-04 05:40:21       disk_read_per_sec         95120
2026-09-04 05:40:21       disk_write_per_sec        3939119
2026-09-04 05:40:21       net_send_per_sec          5369
2026-09-04 05:40:21       net_recv_per_sec          51273
2026-09-04 05:40:21       load1                     4.06
2026-09-04 05:40:21       load5                     1.22
2026-09-04 05:40:21       load15                    1.90
2026-09-04 05:40:21       active_sessions           34
2026-09-04 05:40:21       active_requests           24
2026-09-04 05:40:21       long_queries              10
2026-09-04 05:40:21       long_transactions         10
2026-09-04 05:40:21       idle_sessions             32
2026-09-04 05:40:21       lock_waits                0
2026-09-04 05:40:21       total_locks               13
2026-09-04 05:40:21       deadlocks_per_sec         0
2026-09-04 05:40:21       page_life_expectancy      68
2026-09-04 05:40:21       buffer_cache_hit_ratio    100.0
2026-09-04 05:40:21       transactions_per_sec      158.55
2026-09-04 05:40:21       page_reads_per_sec        0.0
2026-09-04 05:40:21       page_writes_per_sec       0.0
2026-09-04 05:40:21       rollbacks_per_sec         0.0
2026-09-04 05:40:21       batch_requests_per_sec    0.0
2026-09-04 05:40:21       sql_compilations_per_sec  0.0
2026-09-04 05:40:21       database_size_mb          0
2026-09-04 05:40:21       total_reads               705
2026-09-04 05:40:21       total_writes              222
2026-09-04 05:40:21       venta_locks               0
2026-09-04 05:40:21       detalle_venta_locks       0
2026-09-04 05:40:21       inventario_locks          0
2026-09-04 05:40:21       kardex_locks              0
2026-09-04 05:40:21       caja_locks                0
2026-09-04 05:40:21       movimiento_caja_locks     0
2026-09-04 05:40:21       auditoria_locks           0
2026-09-04 05:40:21       api_status                0
2026-09-04 05:40:21       api_latency_ms            5008
2026-09-04 05:40:21       products_count            0
2026-09-04 05:40:21       sales_count               0
2026-09-04 05:40:36       cpu_usr                   49.2
2026-09-04 05:40:36       cpu_sys                   16.7
2026-09-04 05:40:36       cpu_idl                   26.6
2026-09-04 05:40:36       cpu_wai                   0.0
2026-09-04 05:40:36       cpu_stl                   0.0
2026-09-04 05:40:36       memory_percent            46.1
2026-09-04 05:40:36       memory_used_mb            1803
2026-09-04 05:40:36       memory_available_mb       2113
2026-09-04 05:40:36       disk_read_per_sec         118115
2026-09-04 05:40:36       disk_write_per_sec        3433691
2026-09-04 05:40:36       net_send_per_sec          5587
2026-09-04 05:40:36       net_recv_per_sec          35752
2026-09-04 05:40:36       load1                     5.33
2026-09-04 05:40:36       load5                     1.63
2026-09-04 05:40:36       load15                    2.03
2026-09-04 05:40:36       active_sessions           34
2026-09-04 05:40:36       active_requests           22
2026-09-04 05:40:36       long_queries              21
2026-09-04 05:40:36       long_transactions         10
2026-09-04 05:40:36       idle_sessions             32
2026-09-04 05:40:36       lock_waits                0
2026-09-04 05:40:36       total_locks               13
2026-09-04 05:40:36       deadlocks_per_sec         0
2026-09-04 05:40:36       page_life_expectancy      83
2026-09-04 05:40:36       buffer_cache_hit_ratio    100.0
2026-09-04 05:40:36       transactions_per_sec      116.99
2026-09-04 05:40:36       page_reads_per_sec        0.0
2026-09-04 05:40:36       page_writes_per_sec       0.0
2026-09-04 05:40:36       rollbacks_per_sec         0.0
2026-09-04 05:40:36       batch_requests_per_sec    0.0
2026-09-04 05:40:36       sql_compilations_per_sec  0.0
2026-09-04 05:40:36       database_size_mb          0
2026-09-04 05:40:36       total_reads               708
2026-09-04 05:40:36       total_writes              228
2026-09-04 05:40:36       venta_locks               0
2026-09-04 05:40:36       detalle_venta_locks       0
2026-09-04 05:40:36       inventario_locks          0
2026-09-04 05:40:36       kardex_locks              0
2026-09-04 05:40:36       caja_locks                0
2026-09-04 05:40:36       movimiento_caja_locks     0
2026-09-04 05:40:36       auditoria_locks           0
2026-09-04 05:40:36       api_status                0
2026-09-04 05:40:36       api_latency_ms            5008
2026-09-04 05:40:36       products_count            0
2026-09-04 05:40:36       sales_count               0
2026-09-04 05:40:52       cpu_usr                   47.9
2026-09-04 05:40:52       cpu_sys                   16.2
2026-09-04 05:40:52       cpu_idl                   28.4
2026-09-04 05:40:52       cpu_wai                   0.1
2026-09-04 05:40:52       cpu_stl                   0.0
2026-09-04 05:40:52       memory_percent            46.7
2026-09-04 05:40:52       memory_used_mb            1828
2026-09-04 05:40:52       memory_available_mb       2088
2026-09-04 05:40:52       disk_read_per_sec         77375
2026-09-04 05:40:52       disk_write_per_sec        4550014
2026-09-04 05:40:52       net_send_per_sec          5767
2026-09-04 05:40:52       net_recv_per_sec          36076
2026-09-04 05:40:52       load1                     5.70
2026-09-04 05:40:52       load5                     1.90
2026-09-04 05:40:52       load15                    2.11
2026-09-04 05:40:52       active_sessions           34
2026-09-04 05:40:52       active_requests           22
2026-09-04 05:40:52       long_queries              21
2026-09-04 05:40:52       long_transactions         21
2026-09-04 05:40:52       idle_sessions             33
2026-09-04 05:40:52       lock_waits                0
2026-09-04 05:40:52       total_locks               13
2026-09-04 05:40:52       deadlocks_per_sec         0
2026-09-04 05:40:52       page_life_expectancy      99
2026-09-04 05:40:52       buffer_cache_hit_ratio    100.0
2026-09-04 05:40:52       transactions_per_sec      121.5
2026-09-04 05:40:52       page_reads_per_sec        0.0
2026-09-04 05:40:52       page_writes_per_sec       0.0
2026-09-04 05:40:52       rollbacks_per_sec         0.0
2026-09-04 05:40:52       batch_requests_per_sec    0.0
2026-09-04 05:40:52       sql_compilations_per_sec  0.0
2026-09-04 05:40:52       database_size_mb          0
2026-09-04 05:40:52       total_reads               708
2026-09-04 05:40:52       total_writes              231
2026-09-04 05:40:52       venta_locks               0
2026-09-04 05:40:52       detalle_venta_locks       0
2026-09-04 05:40:52       inventario_locks          0
2026-09-04 05:40:52       kardex_locks              0
2026-09-04 05:40:52       caja_locks                0
2026-09-04 05:40:52       movimiento_caja_locks     0
2026-09-04 05:40:52       auditoria_locks           0
2026-09-04 05:40:52       api_status                0
2026-09-04 05:40:52       api_latency_ms            5006
2026-09-04 05:40:52       products_count            0
2026-09-04 05:40:52       sales_count               0
2026-09-04 05:41:07       cpu_usr                   47.9
2026-09-04 05:41:07       cpu_sys                   16.4
2026-09-04 05:41:07       cpu_idl                   28.1
2026-09-04 05:41:07       cpu_wai                   0.0
2026-09-04 05:41:07       cpu_stl                   0.0
2026-09-04 05:41:07       memory_percent            46.9
2026-09-04 05:41:07       memory_used_mb            1835
2026-09-04 05:41:07       memory_available_mb       2081
2026-09-04 05:41:07       disk_read_per_sec         62122
2026-09-04 05:41:07       disk_write_per_sec        3899071
2026-09-04 05:41:07       net_send_per_sec          5726
2026-09-04 05:41:07       net_recv_per_sec          34020
2026-09-04 05:41:07       load1                     5.89
2026-09-04 05:41:07       load5                     2.12
2026-09-04 05:41:07       load15                    2.18
2026-09-04 05:41:07       active_sessions           34
2026-09-04 05:41:07       active_requests           23
2026-09-04 05:41:07       long_queries              21
2026-09-04 05:41:07       long_transactions         21
2026-09-04 05:41:07       idle_sessions             33
2026-09-04 05:41:07       lock_waits                0
2026-09-04 05:41:07       total_locks               13
2026-09-04 05:41:07       deadlocks_per_sec         0
2026-09-04 05:41:07       page_life_expectancy      114
2026-09-04 05:41:07       buffer_cache_hit_ratio    100.0
2026-09-04 05:41:07       transactions_per_sec      78.34
2026-09-04 05:41:07       page_reads_per_sec        0.0
2026-09-04 05:41:07       page_writes_per_sec       0.0
2026-09-04 05:41:07       rollbacks_per_sec         0.0
2026-09-04 05:41:07       batch_requests_per_sec    0.0
2026-09-04 05:41:07       sql_compilations_per_sec  0.0
2026-09-04 05:41:07       database_size_mb          0
2026-09-04 05:41:07       total_reads               708
